Points:0,Points:1,Points:2,U:0,U:1,U:2
4.5241685,2.7656901,0.025,0.61154902,0.59693003,-9.9906304e-18
4.125,1.0895627,0.025,0.66873097,0.17053001,1.21984e-17
4.05,2.057735,0.025,0.72842097,0.470709,-5.0244199e-18
6.2750001,0.39896367,0.025,-0.119206,0.067133799,-3.7574600000000003e-17
9.0207262,4.0999999,0.025,-0.15358,-0.22996201,1.8924501e-18
9.7135461,1.85,0.025,0.22478101,-0.30939499,1.06157e-17
0.625,2.3597332,0.025,-0.317184,0.071063899,1.5034601e-20
5.4855663,0.57499998,0.025,0.036013,-0.40887299,-3.18173e-17
4.2750001,4.3412288,0.025,0.425304,0.68568802,8.1568801e-18
6.538147,4.2500474,0.025,-0.67579198,0.405209,4.870370000000001e-18
5.0541512,1.3622811,0.025,0.306624,0.29711699,-1.59288e-17
6.5773753,4.9500437,0.025,1.2607599,0.38437501,-4.3633699e-18
0.1496725,0.026350754,0.025,0.010968,0.036132999,-2.2883201e-17
2.1,1.7968167,0.025,1.58515,0.075681098,2.1681800000000004e-22
5.0,4.8567732,0.025,0.32922199,0.58267301,-1.28987e-17
1.9999239,3.4455571,0.025,-0.95429301,-0.036129698,-1.68595e-18
5.6680096,3.0249951,0.025,0.54865301,0.399115,7.0143998e-18
1.9,5.2031832,0.025,1.34372,0.67326802,1.9413801e-18
2.425,0.39674233,0.025,0.46397999,-0.200799,3.41047e-18
3.0500001,1.5370091,0.025,1.13938,0.24034999,-1.4999899999999998e-18
1.85,5.1743156,0.025,1.3717999,0.69309503,8.6785898e-19
3.55,2.5658767,0.025,0.727557,0.58682501,-8.0995703e-20
9.3094012,4.0,0.025,-0.163186,-0.626652,3.8632999e-18
8.9774246,3.225,0.025,-0.43471301,0.108589,5.1587901e-20
8.7464848,1.475,0.025,0.15636399,-0.56543702,4.0257102e-18
8.6743158,0.29999998,0.025,-0.53795898,-0.155053,2.28447e-18
3.475,5.4774248,0.025,0.70196903,0.40873399,-1.1446099999999999e-20
1.075,5.5640273,0.025,-0.00096681598,0.33491999,1.3312599999999998e-19
7.4474463,4.0250001,0.025,-0.134855,-0.435029,6.3218300000000005e-18
3.475,4.986677,0.025,0.223039,-0.208611,-2.26932e-18
8.8908224,5.425,0.025,0.74288899,0.103727,-3.4989699e-18
7.9739102,5.9861463,0.025,-0.58743799,1.31873,-2.06149e-18
2.525,5.3042197,0.025,1.28583,0.44404599,-9.73373e-19
5.0250001,5.5062922,0.025,0.30517,0.313003,-3.4525199e-18
9.193931,4.9000001,0.025,0.55792201,-0.30097401,-9.268510000000001e-18
5.5,5.4341235,0.025,0.51527399,0.30365199,1.24634e-17
2.5,1.2194664,0.025,1.33505,-0.048162501,4.2628498000000004e-21
7.8939145,4.05,0.025,-0.043163199,-0.115617,-8.873560199999999e-18
4.5626227,0.099517446,0.025,0.47775599,-0.00091938197,-3.19308e-17
1.075,2.4752032,0.025,-0.23679399,-0.361211,3.8357101e-18
9.1939309,2.0,0.025,0.82697499,-0.29649201,2.71973e-17
2.975,0.54107983,0.025,0.680354,-0.093606196,-1.9951599999999998e-21
0.94999998,0.67098369,0.025,0.52546602,-0.18806,-8.38232e-19
6.5656304,1.375,0.025,-0.0127466,1.03581,5.80944e-20
3.8,2.5658766,0.025,0.70351601,0.57565302,-3.6761201e-18
9.1361961,2.6999999,0.025,0.472083,0.102709,-6.695009999999999e-18
7.6639528,1.25,0.025,-0.31341901,-0.13810501,-1.00289e-17
7.4866719,5.4250086,0.025,0.99983501,0.185845,3.0226801e-18
3.4959976,4.597046,0.025,0.175338,-0.33170199,-1.09947e-17
9.6125097,3.475,0.025,0.090346403,-0.32631901,1.60261e-17
1.375,5.4774248,0.025,0.53470999,0.59238398,-1.1971899999999998e-20
6.4907481,5.1000008,0.025,1.06866,0.35829201,-7.2103299e-18
9.7857151,4.7249999,0.025,0.124726,-1.29355,-7.0818903e-18
7.0288674,1.0,0.025,-0.46691099,0.35799,-4.00271e-18
8.789786,5.0999999,0.025,0.74466199,0.17749,-7.7912696e-18
5.7729869,4.4511531,0.025,0.65498197,0.870309,-6.4036799e-18
4.1500001,1.363804,0.025,0.68919802,0.259222,-4.5790299e-19
1.475,5.9855663,0.025,-0.42151001,0.0222829,-2.6025801e-18
