"Points:0","Points:1","Points:2","U:0","U:1","U:2"
6.1691263e-02,8.0676121e-01,2.5000000e-02,2.1770900e-02,6.9262397e-01,-9.7692504e-18
9.6931426e+00,5.9384826e+00,2.5000000e-02,-1.9767401e-01,-4.2791501e-02,-1.1030100e-16
1.4256101e+00,4.2022257e+00,2.5000000e-02,2.2677600e-01,-3.4521300e-01,2.2400101e-18
6.9162763e+00,5.2657191e+00,2.5000000e-02,1.1536700e+00,1.2663101e-01,-1.5916200e-19
5.1569834e+00,3.3814233e+00,2.5000000e-02,4.9175301e-01,6.2574899e-01,-4.7170398e-19
6.0909566e-02,5.6557175e+00,2.5000000e-02,-9.8434299e-02,-6.7039597e-01,3.4130299e-18
7.3960475e+00,3.2362205e+00,2.5000000e-02,3.2621302e-02,-2.7141801e-01,1.4512500e-17
6.8917373e+00,5.2572942e+00,2.5000000e-02,1.1515700e+00,1.3203900e-01,-1.7292900e-18
7.4211544e+00,5.5475639e+00,2.5000000e-02,1.1237700e+00,2.6480299e-01,-3.8389700e-18
5.3789237e+00,1.7283585e+00,2.5000000e-02,1.1877000e-01,5.9939402e-01,7.1415101e-18
1.4703750e+00,3.7964354e+00,2.5000000e-02,4.8211001e-02,-1.5114599e+00,-7.8425201e-18
3.0008414e-02,3.7954120e+00,2.5000000e-02,1.0851800e-02,7.0188498e-01,-2.1929800e-17
6.7046679e+00,2.9488643e-02,2.5000000e-02,-1.0669500e+00,-9.5249403e-01,-6.0275498e-19
6.1270184e-02,2.1062357e+00,2.5000000e-02,-1.9955100e-02,-5.8589703e-01,1.1514001e-18
8.3940029e+00,6.0729971e-02,2.5000000e-02,-6.9565302e-01,-2.9767901e-02,1.1645000e-19
8.7460610e+00,5.9244552e+00,2.5000000e-02,4.0721601e-01,1.2965500e-03,-3.6423601e-17
7.4554279e-02,7.8509468e-01,2.5000000e-02,3.4357801e-02,7.0182002e-01,1.3884500e-17
9.7151426e+00,5.9256180e+00,2.5000000e-02,-1.9617900e-01,-4.4853099e-02,6.6578100e-17
8.3937445e+00,5.9404632e+00,2.5000000e-02,2.8219399e-01,8.2892897e-03,1.7038101e-17
8.3527854e+00,2.4266618e+00,2.5000000e-02,1.1979800e+00,-6.2565601e-01,-8.8777796e-18
5.7025192e+00,4.7691003e+00,2.5000000e-02,6.3025600e-01,6.5217602e-01,3.5866001e-18
7.4376459e-02,1.4980606e+00,2.5000000e-02,2.0011799e+00,-6.0197101e-03,-1.0874400e-18
7.3986452e-02,5.6339773e+00,2.5000000e-02,-1.0148500e-01,-7.0029902e-01,1.6253901e-18
7.0945192e+00,6.0805937e-02,2.5000000e-02,-1.2433100e+00,-7.8056701e-02,-3.1872799e-18
7.0609428e+00,3.0945981e+00,2.5000000e-02,-7.2869502e-02,-4.7054500e-03,3.4880899e-17
6.9057731e+00,4.0614618e+00,2.5000000e-02,-5.9057301e-01,1.6684800e-01,1.3110300e-18
7.0037239e+00,1.8862740e+00,2.5000000e-02,3.9007801e-01,4.5373201e-01,-5.2471499e-18
8.5704785e+00,5.8792648e+00,2.5000000e-02,4.1303399e-01,2.7427100e-02,-1.3116000e-18
1.2103286e-01,1.9289732e+00,2.5000000e-02,1.9465801e+00,1.6829800e-02,-2.0232600e-18
7.8838857e+00,1.2673201e-01,2.5000000e-02,-9.3025798e-01,-4.6310902e-02,1.7168000e-18
7.6341858e+00,2.2053311e+00,2.5000000e-02,8.9769298e-01,-2.5398999e-01,-4.6800299e-18
7.6153470e+00,2.1889224e+00,2.5000000e-02,8.7499499e-01,-2.3463400e-01,5.7710501e-18
7.5073470e+00,2.2482752e+00,2.5000000e-02,8.9807898e-01,-1.6021700e-01,9.1266601e-18
7.4885735e+00,2.2328300e+00,2.5000000e-02,8.7895697e-01,-1.4052799e-01,-7.3498604e-18
7.1822308e+00,2.2872344e+00,2.5000000e-02,8.2698298e-01,8.4671699e-02,-1.3859800e-19
7.1644920e+00,2.2693762e+00,2.5000000e-02,8.0200303e-01,1.0617500e-01,-2.0229800e-18
7.0092443e+00,2.2473002e+00,2.5000000e-02,6.9808298e-01,2.2062901e-01,1.1368800e-17
6.9925775e+00,2.2310392e+00,2.5000000e-02,6.7262501e-01,2.3784900e-01,-9.8376797e-18
